datetime,timestamp,user,src,out,time
2023-04-27 00:03:21,1682553801,A3***-LYSN,Anubis Collection Package,M4A1 消音型 | Mud-Spec,1682553801
2023-04-27 00:03:21,1682553801,AC***-SQVG,2021年斯德哥尔摩锦标赛传奇组印花胶囊,印花 | Ninjas in Pyjamas （全息） | 2021年斯德哥尔摩锦标赛,1682553801
2023-04-27 00:03:21,1682553801,AF***-S8HQ,2020 RMR 竞争组战队胶囊,印花 | Gen.G | 2020 RMR,1682553801
2023-04-27 00:03:23,1682553803,AM***-4BFG,Anubis Collection Package,MAC-10 | Echoing Sands,1682553803
2023-04-27 00:03:23,1682553803,AR***-4TVJ,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553803
2023-04-27 00:03:23,1682553803,A9***-XCVN,2022年里约热内卢锦标赛挑战组印花胶囊,印花 | Bad News Eagles | 2022年里约热内卢锦标赛,1682553803
2023-04-27 00:03:24,1682553804,SB***-ADUQ,Anubis Collection Package,SSG 08 | Azure Glyph,1682553804
2023-04-27 00:03:24,1682553804,AF***-RRAG,“突围大行动”武器箱,UMP-45 | 迷之宫,1682553804
2023-04-27 00:03:26,1682553806,SY***-U2TA,Anubis Collection Package,MP7 | Sunbaked,1682553806
2023-04-27 00:03:29,1682553809,AF***-RRAG,“突围大行动”武器箱,P250 | 超新星,1682553809
2023-04-27 00:03:29,1682553809,AM***-4BFG,Anubis Collection Package,AUG | Snake Pit,1682553809
2023-04-27 00:03:30,1682553810,AE***-4DPL,Anubis Collection Package,MAC-10 | Echoing Sands,1682553810
2023-04-27 00:03:31,1682553811,SU***-YQXN,变革武器箱,MAG-7 | 鱼长梦短,1682553811
2023-04-27 00:03:31,1682553811,AK***-78NN,Anubis Collection Package,SSG 08 | Azure Glyph,1682553811
2023-04-27 00:03:32,1682553812,AS***-RHEA,Anubis Collection Package,SSG 08 | Azure Glyph,1682553812
2023-04-27 00:03:32,1682553812,AZ***-7EVG,间谍印花胶囊,印花 | 小T快润,1682553812
2023-04-27 00:03:33,1682553813,AF***-RRAG,“突围大行动”武器箱,MP7 | 都市危机,1682553813
2023-04-27 00:03:34,1682553814,A9***-P2VC,Anubis Collection Package,SSG 08 | Azure Glyph,1682553814
2023-04-27 00:03:34,1682553814,AM***-4BFG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553814
2023-04-27 00:03:34,1682553814,AR***-4TVJ,Anubis Collection Package,AUG | Snake Pit,1682553814
2023-04-27 00:03:35,1682553815,A4***-YXTJ,2021社区印花胶囊,印花 | 留队察看,1682553815
2023-04-27 00:03:35,1682553815,A3***-LYSN,Anubis Collection Package,MAC-10 | Echoing Sands,1682553815
2023-04-27 00:03:36,1682553816,SY***-U2TA,Anubis Collection Package,SSG 08 | Azure Glyph,1682553816
2023-04-27 00:03:36,1682553816,AZ***-9HEE,棱彩2号武器箱,内格夫 | 原型机,1682553816
